sensor_id,trip_id,timestamp,elapsed_seconds,accel_x,accel_y,accel_z,speed_kmh,gps_lat,gps_lon
ACC001,TRIP001,2024-02-06 06:45:00,0,0.2,0.1,9.8,0,19.1334,72.8291
ACC002,TRIP001,2024-02-06 06:45:30,30,0.8,0.3,9.7,25,19.1289,72.8312
ACC003,TRIP001,2024-02-06 06:46:00,60,1.2,0.5,9.6,38,19.1245,72.8345
ACC004,TRIP001,2024-02-06 06:46:30,90,0.4,0.2,9.7,42,19.1198,72.8378
ACC005,TRIP001,2024-02-06 06:55:00,600,0.3,0.1,9.8,45,19.0698,72.8512
ACC006,TRIP001,2024-02-06 07:02:30,1050,2.1,1.2,8.9,18,19.0596,72.8656
ACC007,TRIP001,2024-02-06 07:03:00,1080,0.2,0.1,9.8,0,19.0596,72.8656
ACC008,TRIP002,2024-02-06 07:15:00,0,0.3,0.2,9.8,0,19.0596,72.8656
ACC009,TRIP002,2024-02-06 07:15:30,30,1.1,0.6,9.5,32,19.0545,72.8678
ACC010,TRIP002,2024-02-06 07:16:00,60,0.5,0.3,9.7,48,19.0489,72.8702
ACC011,TRIP002,2024-02-06 07:22:00,420,4.2,3.1,7.2,28,19.0123,72.8889
ACC012,TRIP002,2024-02-06 07:22:30,450,5.8,4.3,5.9,12,19.0098,72.8912
ACC013,TRIP002,2024-02-06 07:23:00,480,6.2,5.1,5.1,5,19.0078,72.8934
ACC014,TRIP002,2024-02-06 07:23:30,510,3.8,2.9,7.8,18,19.0056,72.8956
ACC015,TRIP002,2024-02-06 07:24:00,540,2.1,1.5,8.9,32,19.0034,72.8978
ACC016,TRIP002,2024-02-06 07:30:00,900,0.4,0.2,9.7,52,18.9856,72.9123
ACC017,TRIP002,2024-02-06 07:37:30,1350,1.8,1.2,9.1,15,18.9812,72.8234
ACC018,TRIP002,2024-02-06 07:38:00,1380,0.2,0.1,9.8,0,18.9801,72.8223
ACC019,TRIP003,2024-02-06 07:52:00,0,0.3,0.2,9.8,0,18.9801,72.8223
ACC020,TRIP003,2024-02-06 07:52:30,30,0.9,0.4,9.6,28,18.9823,72.8245
ACC021,TRIP003,2024-02-06 08:00:00,480,0.5,0.3,9.7,55,19.0234,72.8456
ACC022,TRIP003,2024-02-06 08:08:00,960,0.4,0.2,9.7,48,19.0789,72.8612
ACC023,TRIP003,2024-02-06 08:14:30,1350,1.6,1.0,9.2,22,19.1123,72.8712
ACC024,TRIP003,2024-02-06 08:15:00,1380,0.2,0.1,9.8,0,19.1156,72.8734
ACC025,TRIP008,2024-02-06 17:30:00,0,0.3,0.2,9.8,0,12.9698,77.75
ACC026,TRIP008,2024-02-06 17:30:30,30,1.2,0.7,9.5,35,12.9656,77.7478
ACC027,TRIP008,2024-02-06 17:38:00,480,0.6,0.3,9.6,58,12.9523,77.7123
ACC028,TRIP008,2024-02-06 17:45:00,900,0.5,0.2,9.7,52,12.9389,77.6845
ACC029,TRIP008,2024-02-06 17:52:00,1320,0.4,0.2,9.7,48,12.9312,77.6612
ACC030,TRIP008,2024-02-06 17:57:30,1650,1.5,1.1,9.3,25,12.9789,77.6412
ACC031,TRIP008,2024-02-06 17:58:00,1680,0.2,0.1,9.8,0,12.9784,77.6408
ACC032,TRIP010,2024-02-06 19:05:00,0,0.3,0.2,9.8,0,12.9352,77.6245
ACC033,TRIP010,2024-02-06 19:05:30,30,1.4,0.8,9.4,38,12.9312,77.6212
ACC034,TRIP010,2024-02-06 19:15:00,600,0.6,0.3,9.6,62,12.8956,77.5823
ACC035,TRIP010,2024-02-06 19:22:00,1020,3.8,2.9,7.8,42,12.8712,77.5512
ACC036,TRIP010,2024-02-06 19:22:30,1050,5.2,4.1,6.3,22,12.8689,77.5489
ACC037,TRIP010,2024-02-06 19:23:00,1080,6.8,5.4,4.8,8,12.8667,77.5467
ACC038,TRIP010,2024-02-06 19:23:30,1110,4.5,3.6,7.1,15,12.8645,77.5445
ACC039,TRIP010,2024-02-06 19:24:00,1140,2.8,2.1,8.5,28,12.8623,77.5423
ACC040,TRIP010,2024-02-06 19:30:00,1500,0.5,0.3,9.7,55,12.8456,77.5234
ACC041,TRIP010,2024-02-06 19:34:30,1770,1.4,0.9,9.4,18,12.8406,77.227
ACC042,TRIP010,2024-02-06 19:35:00,1800,0.2,0.1,9.8,0,12.8406,77.227
ACC043,TRIP029,2024-02-06 11:24:01,61,0.4,0.5,9.3,35,28.6408,77.2422
ACC044,TRIP007,2024-02-06 10:55:31,451,1.4,0.6,9.6,48,28.6633,77.2471
ACC045,TRIP026,2024-02-06 08:07:18,318,0.7,1.6,8.6,24,19.1937,72.6236
ACC046,TRIP004,2024-02-06 08:55:32,1652,0.2,1.0,8.7,59,12.8539,77.5134
ACC047,TRIP013,2024-02-06 10:06:06,1266,2.7,0.8,8.7,4,19.1879,72.6432
ACC048,TRIP002,2024-02-06 07:17:43,163,2.6,1.7,9.0,29,28.6464,77.2369
ACC049,TRIP021,2024-02-06 15:49:52,1372,0.9,1.9,9.3,38,12.8265,77.5035
ACC050,TRIP021,2024-02-06 15:42:46,946,1.2,2.0,9.3,35,19.1871,72.6198
ACC051,TRIP008,2024-02-06 17:31:54,114,0.8,0.2,8.9,17,28.6503,77.2561
ACC052,TRIP003,2024-02-06 08:16:30,1470,1.0,1.3,9.0,58,19.2023,72.6327
ACC053,TRIP021,2024-02-06 15:52:25,1525,1.7,0.6,9.3,57,12.8257,77.4949
ACC054,TRIP019,2024-02-06 19:09:43,283,1.6,0.3,8.6,7,12.8345,77.5292
ACC055,TRIP005,2024-02-06 09:35:21,1221,0.3,0.8,9.8,33,28.6437,77.2526
ACC056,TRIP009,2024-02-06 18:39:36,1476,0.4,1.8,9.5,49,28.6717,77.2258
ACC057,TRIP021,2024-02-06 15:42:29,929,0.1,1.5,9.4,32,12.8245,77.5067
ACC058,TRIP025,2024-02-06 08:16:20,1280,1.0,1.3,9.3,9,19.1861,72.6143
ACC059,TRIP012,2024-02-06 09:08:06,1086,2.8,1.2,9.1,7,19.1873,72.6411
ACC060,TRIP030,2024-02-06 12:40:29,629,0.8,0.6,9.2,5,12.8552,77.5226
ACC061,TRIP003,2024-02-06 08:17:57,1557,1.6,0.3,9.4,60,28.6567,77.2281
ACC062,TRIP018,2024-02-06 18:14:26,866,2.9,1.9,9.5,44,19.1764,72.6449
ACC063,TRIP007,2024-02-06 11:10:10,1330,1.2,1.8,9.1,15,28.6498,77.2651
ACC064,TRIP008,2024-02-06 17:37:51,471,1.8,0.1,9.4,3,19.1793,72.6335
ACC065,TRIP008,2024-02-06 17:32:25,145,1.6,0.6,9.1,34,19.202,72.6444
ACC066,TRIP005,2024-02-06 09:31:08,968,0.8,1.0,9.0,6,28.6747,77.2482
ACC067,TRIP004,2024-02-06 08:43:56,956,2.6,0.2,9.3,41,28.6545,77.2423
ACC068,TRIP004,2024-02-06 08:57:24,1764,0.4,0.5,9.2,8,19.1819,72.6236
ACC069,TRIP014,2024-02-06 06:32:34,154,1.4,1.7,9.2,3,19.1769,72.62
ACC070,TRIP021,2024-02-06 15:52:43,1543,2.6,0.4,9.1,13,28.6707,77.2641
ACC071,TRIP028,2024-02-06 10:16:04,4,3.0,0.6,9.5,29,12.8561,77.4959
ACC072,TRIP010,2024-02-06 19:31:44,1604,1.7,1.5,8.7,18,12.8479,77.5185
ACC073,TRIP007,2024-02-06 11:13:31,1531,1.0,0.2,9.1,58,19.1889,72.6317
ACC074,TRIP028,2024-02-06 10:18:44,164,2.6,0.2,8.6,55,28.6436,77.2638
ACC075,TRIP008,2024-02-06 17:38:24,504,1.8,0.2,8.6,42,12.8248,77.5249
ACC076,TRIP019,2024-02-06 19:11:58,418,2.0,0.7,8.8,8,28.6582,77.2627
ACC077,TRIP022,2024-02-06 16:59:39,1539,2.8,0.1,9.3,36,28.6493,77.238
ACC078,TRIP004,2024-02-06 08:32:31,271,2.8,1.8,9.6,23,19.1873,72.6302
ACC079,TRIP010,2024-02-06 19:15:19,619,1.9,2.0,9.4,0,19.1833,72.6317
ACC080,TRIP022,2024-02-06 17:03:58,1798,0.5,0.3,8.6,35,28.6493,77.2519
ACC081,TRIP005,2024-02-06 09:26:42,702,0.7,1.3,8.8,31,12.8313,77.4977
ACC082,TRIP009,2024-02-06 18:24:26,566,0.2,0.7,8.7,16,19.1695,72.6269
ACC083,TRIP006,2024-02-06 10:24:08,1148,0.1,0.2,9.6,57,28.655,77.2536
ACC084,TRIP005,2024-02-06 09:33:51,1131,0.5,0.3,8.9,57,28.6387,77.2401
ACC085,TRIP030,2024-02-06 12:38:31,511,2.0,0.8,9.2,55,19.2017,72.6184
ACC086,TRIP014,2024-02-06 06:38:04,484,2.6,2.0,9.6,56,28.6673,77.2624
ACC087,TRIP014,2024-02-06 06:56:42,1602,2.8,1.6,9.6,51,19.1729,72.647
ACC088,TRIP008,2024-02-06 17:43:03,783,2.6,1.7,8.8,52,12.8264,77.5173
ACC089,TRIP030,2024-02-06 12:59:44,1784,0.8,0.1,8.8,21,12.834,77.5221
ACC090,TRIP009,2024-02-06 18:36:53,1313,1.6,1.4,9.6,21,19.2044,72.6212
ACC091,TRIP001,2024-02-06 07:04:49,1189,2.9,0.6,8.6,27,19.2009,72.6205
ACC092,TRIP012,2024-02-06 09:07:27,1047,0.4,1.8,8.7,2,28.6688,77.2428
ACC093,TRIP023,2024-02-06 17:59:22,1102,2.1,1.9,9.5,12,12.8201,77.5263
ACC094,TRIP012,2024-02-06 09:01:16,676,1.9,1.4,8.7,57,12.8228,77.5159
ACC095,TRIP010,2024-02-06 19:18:44,824,2.1,1.2,8.7,42,28.6497,77.2417
ACC096,TRIP013,2024-02-06 10:04:25,1165,1.0,1.1,8.5,18,28.6672,77.2323
ACC097,TRIP007,2024-02-06 10:58:59,659,1.4,0.9,8.8,30,12.8514,77.5136
ACC098,TRIP026,2024-02-06 08:19:35,1055,2.0,1.3,8.6,60,28.6441,77.2287
ACC099,TRIP025,2024-02-06 08:01:47,407,0.5,0.2,9.8,39,19.1927,72.619
ACC100,TRIP028,2024-02-06 10:35:38,1178,0.7,1.4,9.1,15,19.184,72.6454
ACC101,TRIP005,2024-02-06 09:44:22,1762,2.3,0.3,9.1,11,28.6648,77.261
ACC102,TRIP026,2024-02-06 08:10:30,510,2.8,0.3,8.7,29,28.658,77.2273
ACC103,TRIP022,2024-02-06 16:59:46,1546,2.7,1.3,9.4,32,28.6768,77.2492
ACC104,TRIP014,2024-02-06 06:59:24,1764,1.5,0.6,8.8,40,28.6551,77.2317
ACC105,TRIP009,2024-02-06 18:30:00,900,0.3,0.6,8.9,20,28.6567,77.2349
ACC106,TRIP029,2024-02-06 11:36:04,784,2.1,1.4,8.6,26,28.6405,77.2314
ACC107,TRIP011,2024-02-06 08:28:25,1705,1.3,1.8,9.3,44,28.6559,77.2278
ACC108,TRIP001,2024-02-06 06:57:00,720,1.0,0.8,9.7,53,28.6525,77.2256
ACC109,TRIP014,2024-02-06 06:50:35,1235,2.7,1.0,8.9,31,28.6672,77.2472
ACC110,TRIP001,2024-02-06 06:58:48,828,2.2,1.7,9.7,39,12.8335,77.5164
ACC111,TRIP018,2024-02-06 18:22:37,1357,0.2,1.3,8.7,29,19.202,72.6337
ACC112,TRIP006,2024-02-06 10:20:31,931,1.0,1.5,9.0,48,19.1762,72.6231
ACC113,TRIP027,2024-02-06 09:09:39,39,2.3,0.2,9.7,14,12.8301,77.4926
ACC114,TRIP021,2024-02-06 15:52:44,1544,0.2,0.6,9.6,39,19.197,72.6361
ACC115,TRIP005,2024-02-06 09:34:15,1155,2.8,1.0,8.8,23,19.1708,72.6368
ACC116,TRIP006,2024-02-06 10:08:54,234,2.4,0.4,8.9,37,28.6616,77.2553
ACC117,TRIP001,2024-02-06 06:57:48,768,1.3,1.5,8.6,44,12.843,77.5256
ACC118,TRIP027,2024-02-06 09:19:17,617,2.6,1.2,8.7,36,28.647,77.2532
ACC119,TRIP026,2024-02-06 08:14:38,758,0.3,1.3,8.5,26,19.1797,72.6271
ACC120,TRIP027,2024-02-06 09:30:41,1301,2.7,1.0,8.7,11,12.8242,77.5277
ACC121,TRIP024,2024-02-06 07:15:35,1655,2.8,1.6,9.1,52,28.6759,77.2361
ACC122,TRIP024,2024-02-06 07:16:21,1701,2.8,0.6,9.1,48,28.648,77.2594
ACC123,TRIP015,2024-02-06 07:10:58,58,1.5,0.7,9.1,22,28.6617,77.2405
ACC124,TRIP026,2024-02-06 08:25:56,1436,2.7,1.2,9.2,12,12.8336,77.5245
