flag_id,trip_id,driver_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
FLAG001,TRIP180,DRV175,2024-02-06 06:02:01,121,harsh_braking,medium,0.97,0.34,0.69,Hard acceleration detected (3.4 m/s² spike).,Motion: harsh_accel | Audio: normal
FLAG002,TRIP180,DRV175,2024-02-06 06:09:29,569,conflict_moment,high,0.86,0.66,0.77,Combined signal: motion + audio events detected in trip. Sudden deceleration detected (3.0 m/s² spike). Audio elevated.,Motion: harsh_brake | Audio: very_loud
FLAG003,TRIP180,DRV175,2024-02-06 06:09:59,599,sustained_stress,medium,0.54,0.66,0.59,Continued elevated audio (75 dB) with moderate motion disturbance.,Motion: moderate | Audio: very_loud
FLAG004,TRIP060,DRV175,2024-02-06 06:10:03,603,harsh_braking,medium,1.0,0.33,0.7,Hard acceleration detected (4.3 m/s² spike).,Motion: harsh_accel | Audio: very_loud
FLAG005,TRIP216,DRV012,2024-02-06 06:15:48,228,moderate_brake,low,0.47,0.31,0.4,Moderate motion event (1.7 m/s²) with audio evidence (score=0.31).,Motion: moderate | Audio: normal
FLAG006,TRIP216,DRV012,2024-02-06 06:19:36,456,sustained_stress,medium,0.58,0.67,0.62,Continued elevated audio (77 dB) with moderate motion disturbance.,Motion: moderate | Audio: very_loud
FLAG007,TRIP014,DRV032,2024-02-06 06:32:34,154,moderate_brake,medium,0.71,0.46,0.6,Moderate motion event (2.5 m/s²) with audio evidence (score=0.46).,Motion: moderate | Audio: normal
FLAG008,TRIP072,DRV060,2024-02-06 06:35:50,710,harsh_braking,high,1.0,0.58,0.81,Hard acceleration detected (3.9 m/s² spike).,Motion: harsh_accel | Audio: very_loud
FLAG009,TRIP168,DRV107,2024-02-06 06:41:17,317,moderate_brake,low,0.69,0.3,0.51,Moderate motion event (2.4 m/s²). Normal traffic pattern.,Motion: moderate | Audio: normal
FLAG010,TRIP048,DRV001,2024-02-06 06:43:51,471,sustained_stress,medium,0.49,0.72,0.59,Continued elevated audio (76 dB) with moderate motion disturbance.,Motion: moderate | Audio: very_loud
FLAG011,TRIP014,DRV032,2024-02-06 06:44:26,866,harsh_braking,medium,0.89,0.46,0.7,Hard acceleration detected (3.1 m/s² spike).,Motion: harsh_accel | Audio: normal
FLAG012,TRIP132,DRV170,2024-02-06 06:46:42,1362,sustained_stress,medium,0.68,0.54,0.62,Continued elevated audio (72 dB) with moderate motion disturbance.,Motion: moderate | Audio: very_loud
FLAG013,TRIP024,DRV189,2024-02-06 06:50:02,122,audio_spike,medium,0.52,0.78,0.64,Elevated cabin audio (87 dB) detected.,Motion: moderate | Audio: argument
FLAG014,TRIP014,DRV032,2024-02-06 06:50:35,1235,harsh_braking,medium,0.88,0.46,0.69,Sudden deceleration detected (3.1 m/s² spike). Audio elevated.,Motion: harsh_brake | Audio: normal
