log_id,driver_id,date,timestamp,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status
VEL032,DRV001,2024-02-06,08:49:12,1461,2.82,518.09,172.0,346.09,5,ahead
VEL250,DRV001,2024-02-06,09:10:00,1650,3.2,515.63,172.0,343.63,6,ahead
VELdd7138,DRV001,2026-03-08,09:22:00,1790,3.6808334239678167,486.3,172.0,314.3,7,ahead
VEL068,DRV004,2024-02-06,06:32:24,887,0.54,1642.59,193.0,1449.59,13,ahead
VEL183,DRV004,2024-02-06,07:00:36,1936,1.01,1916.83,191.0,1725.83,9,ahead
VEL101,DRV004,2024-02-06,07:51:36,1745,1.86,938.17,199.0,739.17,9,ahead
VEL7ca662,DRV004,2024-02-06,08:10:36,1868,2.629305494750374,710.45,199.0,511.45,10,ahead
VEL8977bc,DRV004,2024-02-06,08:18:36,2087,2.440171623366128,855.27,199.0,656.27,11,ahead
VELa10273,DRV004,2024-02-06,08:36:36,2328,2.53873400610874,916.99,199.0,717.99,12,ahead
VEL126,DRV005,2024-02-06,10:07:12,1375,4.12,333.74,181.0,152.74,4,ahead
VELd16c5f,DRV005,2024-02-06,10:19:12,1564,4.905699347804418,318.81,181.0,137.81,5,ahead
VELe3072a,DRV005,2024-02-06,10:29:12,1747,4.889997351871461,357.26,181.0,176.26,6,ahead
VEL115,DRV007,2024-02-06,13:29:24,2233,7.49,298.13,173.0,125.13,8,ahead
VEL4a7982,DRV007,2024-02-06,13:39:24,2390,8.234798584732951,290.23,173.0,117.23,9,ahead
VEL7f5632,DRV007,2024-02-06,13:47:24,2588,8.194845944520033,315.81,173.0,142.81,10,ahead
VEL028,DRV008,2024-02-06,07:18:00,1059,1.3,814.62,165.0,649.62,9,ahead
VEL246,DRV008,2024-02-06,07:40:00,1200,1.8,666.67,165.0,501.67,10,ahead
VEL214,DRV008,2024-02-06,11:21:36,888,5.36,165.67,166.0,-0.33,5,on_track
VEL118,DRV008,2024-02-06,11:51:36,179,5.86,30.55,199.0,-168.45,12,at_risk
VEL037,DRV008,2024-02-06,12:55:48,883,6.93,127.42,190.0,-62.58,5,at_risk
VEL148,DRV009,2024-02-06,07:27:00,236,1.45,162.76,187.0,-24.24,9,at_risk
VEL072,DRV009,2024-02-06,10:18:00,660,4.3,153.49,188.0,-34.51,9,at_risk
VEL984d5a,DRV009,2024-02-06,10:28:00,748,4.718707861713494,158.52,188.0,-29.48,10,at_risk
VEL091,DRV010,2024-02-06,07:25:48,1256,1.43,878.32,172.0,706.32,11,ahead
VEL010,DRV010,2024-02-06,19:35:00,925,3.58,258.38,200.0,58.38,3,ahead
VEL7b1793,DRV010,2026-03-08,19:41:00,1040,4.266223738242887,243.78,200.0,43.78,4,ahead
VEL077,DRV011,2024-02-06,11:03:00,1592,5.05,315.25,197.0,118.25,4,ahead
VEL056,DRV011,2024-02-06,12:59:24,2049,6.99,293.13,189.0,104.13,5,ahead
VEL46fa47,DRV011,2024-02-06,13:04:24,2153,7.718323074607326,278.95,189.0,89.95,6,ahead
VEL130,DRV012,2024-02-06,06:55:48,2149,0.93,2310.75,165.0,2145.75,10,ahead
VELae0836,DRV012,2024-02-06,07:04:48,2397,1.3716667693595106,1747.51,165.0,1582.51,11,ahead
VELea039b,DRV012,2024-02-06,07:17:48,2590,1.5069314156056972,1718.72,165.0,1553.72,12,ahead
VEL025,DRV013,2024-02-06,08:49:48,156,2.83,55.12,202.0,-146.88,9,at_risk
VEL243,DRV013,2024-02-06,09:10:00,210,3.2,65.63,202.0,-136.37,10,at_risk
VELbe60da,DRV013,2026-03-08,09:28:00,367,3.589259011967951,102.25,202.0,-99.75,11,at_risk
VEL149,DRV014,2024-02-06,12:15:36,205,6.26,32.75,180.0,-147.25,1,at_risk
VEL121b06,DRV014,2024-02-06,12:27:36,394,7.016446147762542,56.15,180.0,-123.85,2,at_risk
VELa8e4de,DRV014,2024-02-06,12:41:36,597,6.934942910735832,86.09,180.0,-93.91,3,at_risk
VEL140,DRV015,2024-02-06,07:42:36,1949,1.71,1139.77,187.0,952.77,12,ahead
VEL6126f5,DRV015,2024-02-06,07:57:36,2194,2.137995841046122,1026.19,187.0,839.19,13,ahead
VEL16678e,DRV015,2024-02-06,08:16:36,2313,2.1254002818608337,1088.27,187.0,901.27,14,ahead
VEL157,DRV016,2024-02-06,11:04:48,2207,5.08,434.45,177.0,257.45,14,ahead
