log_id,driver_id,date,timestamp,cumulative_earnings,elapsed_hours,current_velocity,target_velocity,velocity_delta,trips_completed,forecast_status
VEL001,DRV001,2024-02-06,06:14:00,351,0.5,702.0,199,503.0,1,ahead
VEL002,DRV001,2024-02-06,13:15:00,732,6.65,110.08,172,-61.92,2,at_risk
VEL003,DRV001,2024-02-06,15:15:00,1123,8.65,129.83,175,-45.17,3,at_risk
VEL004,DRV002,2024-02-06,07:06:00,447,0.5,894.0,183,711.0,1,ahead
VEL005,DRV003,2024-02-06,07:11:00,181,0.5,362.0,200,162.0,1,ahead
VEL006,DRV003,2024-02-06,08:15:00,356,0.53,671.7,192,479.7,2,ahead
VEL007,DRV003,2024-02-06,12:00:00,692,4.28,161.68,198,-36.32,3,at_risk
VEL008,DRV004,2024-02-06,07:26:00,377,0.5,754.0,199,555.0,1,ahead
VEL009,DRV004,2024-02-06,09:59:00,740,2.87,257.84,186,71.84,2,ahead
VEL010,DRV007,2024-02-06,10:11:00,179,0.5,358.0,200,158.0,1,ahead
VEL011,DRV007,2024-02-06,10:38:00,533,0.5,1066.0,200,866.0,2,ahead
VEL012,DRV007,2024-02-06,13:19:00,937,2.65,353.58,187,166.58,3,ahead
VEL013,DRV011,2024-02-06,09:32:00,214,0.5,428.0,200,228.0,1,ahead
VEL014,DRV011,2024-02-06,17:48:00,405,8.65,46.82,172,-125.18,2,at_risk
VEL015,DRV012,2024-02-06,06:31:00,445,0.5,890.0,183,707.0,1,ahead
VEL016,DRV013,2024-02-06,10:13:00,217,0.5,434.0,198,236.0,1,ahead
VEL017,DRV016,2024-02-06,06:31:00,235,0.52,451.92,177,274.92,1,ahead
VEL018,DRV016,2024-02-06,11:19:00,451,5.32,84.77,174,-89.23,2,at_risk
VEL019,DRV016,2024-02-06,11:45:00,451,5.75,78.43,174,-95.57,2,at_risk
VEL020,DRV016,2024-02-06,14:05:00,737,8.08,91.21,178,-86.79,3,at_risk
VEL021,DRV017,2024-02-06,14:39:00,143,0.52,275.0,191,84.0,1,ahead
VEL022,DRV018,2024-02-06,15:37:00,426,0.57,747.37,172,575.37,1,ahead
VEL023,DRV020,2024-02-06,06:43:00,178,0.52,342.31,191,151.31,1,ahead
VEL024,DRV021,2024-02-06,11:37:00,263,0.5,526.0,172,354.0,1,ahead
VEL025,DRV021,2024-02-06,14:30:00,450,2.52,178.57,186,-7.43,2,at_risk
VEL026,DRV024,2024-02-06,08:31:00,285,0.5,570.0,181,389.0,1,ahead
VEL028,DRV024,2024-02-06,09:24:00,523,1.37,381.75,199,182.75,2,ahead
VEL027,DRV024,2024-02-06,10:39:00,523,2.62,199.62,199,0.62,2,on_track
VEL029,DRV025,2024-02-06,09:54:00,364,0.5,728.0,191,537.0,1,ahead
VEL030,DRV026,2024-02-06,14:54:00,432,0.5,864.0,174,690.0,1,ahead
VEL031,DRV028,2024-02-06,17:23:00,260,0.5,520.0,181,339.0,1,ahead
VEL032,DRV031,2024-02-06,07:59:00,154,0.5,308.0,191,117.0,1,ahead
VEL033,DRV031,2024-02-06,08:15:00,449,0.73,615.07,190,425.07,2,ahead
VEL034,DRV031,2024-02-06,14:27:00,832,6.93,120.06,171,-50.94,3,at_risk
VEL035,DRV032,2024-02-06,06:52:00,168,0.5,336.0,188,148.0,1,ahead
VEL036,DRV032,2024-02-06,15:10:00,466,8.67,53.75,179,-125.25,2,at_risk
VEL037,DRV033,2024-02-06,07:22:00,203,0.5,406.0,177,229.0,1,ahead
VEL038,DRV034,2024-02-06,08:39:00,284,0.62,458.06,198,260.06,1,ahead
VEL039,DRV035,2024-02-06,13:46:00,429,0.55,780.0,176,604.0,1,ahead
VEL040,DRV038,2024-02-06,14:08:00,184,0.5,368.0,184,184.0,1,ahead
VEL042,DRV038,2024-02-06,14:24:00,486,0.0,972.0,189,783.0,2,ahead
VEL041,DRV038,2024-02-06,15:27:00,486,0.72,675.0,189,486.0,2,ahead
VEL043,DRV039,2024-02-06,08:30:00,277,0.5,554.0,180,374.0,1,ahead
VEL045,DRV039,2024-02-06,09:11:00,513,1.15,446.09,178,268.09,2,ahead
VEL044,DRV039,2024-02-06,10:13:00,513,2.18,235.32,178,57.32,2,ahead
VEL047,DRV039,2024-02-06,10:22:00,938,2.33,402.58,178,224.58,3,ahead
VEL046,DRV039,2024-02-06,13:03:00,938,5.02,186.85,178,8.85,3,ahead
VEL048,DRV041,2024-02-06,06:40:00,361,0.5,722.0,182,540.0,1,ahead
VEL049,DRV042,2024-02-06,06:18:00,442,0.5,884.0,189,695.0,1,ahead
VEL050,DRV042,2024-02-06,09:18:00,737,2.5,294.8,185,109.8,2,ahead
VEL051,DRV042,2024-02-06,09:30:00,1100,2.7,407.41,198,209.41,3,ahead
VEL052,DRV042,2024-02-06,17:17:00,1523,10.48,145.32,197,-51.68,4,at_risk
VEL053,DRV043,2024-02-06,10:53:00,267,0.62,430.65,194,236.65,1,ahead
VEL055,DRV043,2024-02-06,11:34:00,492,1.3,378.46,199,179.46,2,ahead
VEL054,DRV043,2024-02-06,13:44:00,492,3.47,141.79,199,-57.21,2,at_risk
VEL056,DRV043,2024-02-06,14:20:00,847,4.07,208.11,188,20.11,3,ahead
VEL057,DRV045,2024-02-06,19:38:00,335,0.55,609.09,194,415.09,1,ahead
VEL058,DRV046,2024-02-06,12:36:00,182,0.5,364.0,185,179.0,1,ahead
VEL059,DRV046,2024-02-06,13:49:00,548,1.52,360.53,187,173.53,2,ahead
VEL060,DRV046,2024-02-06,15:09:00,752,2.85,263.86,178,85.86,3,ahead
VEL063,DRV046,2024-02-06,15:33:00,1174,3.25,361.23,183,178.23,4,ahead
VEL061,DRV046,2024-02-06,15:37:00,752,3.32,226.51,178,48.51,3,ahead
VEL062,DRV046,2024-02-06,16:10:00,1174,3.87,303.36,183,120.36,4,ahead
VEL065,DRV046,2024-02-06,16:55:00,1440,4.62,311.69,197,114.69,5,ahead
VEL064,DRV046,2024-02-06,17:00:00,1440,4.7,306.38,197,109.38,5,ahead
VEL066,DRV047,2024-02-06,07:01:00,404,0.5,808.0,178,630.0,1,ahead
VEL068,DRV047,2024-02-06,07:06:00,670,0.0,1340.0,177,1163.0,2,ahead
VEL067,DRV047,2024-02-06,08:49:00,670,1.1,609.09,177,432.09,2,ahead
VEL069,DRV048,2024-02-06,06:32:00,198,0.5,396.0,177,219.0,1,ahead
VEL070,DRV048,2024-02-06,09:16:00,415,3.07,135.18,172,-36.82,2,at_risk
VEL071,DRV048,2024-02-06,09:19:00,415,3.12,133.01,172,-38.99,2,at_risk
VEL072,DRV048,2024-02-06,15:53:00,641,9.68,66.22,192,-125.78,3,at_risk
